-1 | -1 | -1 | 13 | -1 | #SUP: 2716
-1 | -1 | -1 | 14 | -1 | #SUP: 2898
-1 | -1 | -1 | 17 | -1 | #SUP: 3012
-1 | -1 | -1 | 18 | -1 | #SUP: 2772
-1 | -1 | -1 | 19 | -1 | #SUP: 2537
-1 | -1 | -1 | 21 | -1 | #SUP: 2609
-1 | -1 | -1 | 22 | -1 | #SUP: 3154
-1 | -1 | -1 | 22 | 14 | #SUP: 1030
-1 | -1 | -1 | 23 | -1 | #SUP: 2636
-1 | -1 | -1 | 24 | -1 | #SUP: 2661
-1 | -1 | -1 | 25 | -1 | #SUP: 3292
-1 | -1 | -1 | 26 | -1 | #SUP: 2739
-1 | -1 | -1 | 27 | -1 | #SUP: 3018
-1 | -1 | -1 | 28 | -1 | #SUP: 2953
-1 | -1 | -1 | 29 | -1 | #SUP: 2825
-1 | -1 | -1 | 30 | -1 | #SUP: 2850
-1 | -1 | -1 | 31 | -1 | #SUP: 2494
-1 | -1 | -1 | 33 | -1 | #SUP: 3159
-1 | -1 | -1 | 34 | -1 | #SUP: 3039
-1 | -1 | -1 | 37 | -1 | #SUP: 3165
-1 | -1 | -1 | 38 | -1 | #SUP: 2848
-1 | -1 | -1 | 39 | -1 | #SUP: 2664
-1 | -1 | -1 | 40 | -1 | #SUP: 2972
-1 | -1 | -1 | 40 | 41 | #SUP: 1297
-1 | -1 | -1 | 41 | -1 | #SUP: 3142
-1 | -1 | -1 | 42 | -1 | #SUP: 2991
-1 | -1 | -1 | 45 | -1 | #SUP: 3046
-1 | -1 | -1 | 46 | -1 | #SUP: 2741
-1 | -1 | -1 | 47 | -1 | #SUP: 2726
-1 | -1 | -1 | 48 | -1 | #SUP: 2684
-1 | -1 | 0 | -1 | -1 | #SUP: 2716
-1 | -1 | 1 | -1 | -1 | #SUP: 2793
-1 | -1 | 2 | -1 | -1 | #SUP: 3032
-1 | -1 | 4 | -1 | -1 | #SUP: 2725
-1 | -1 | 5 | -1 | -1 | #SUP: 2710
-1 | -1 | 6 | -1 | -1 | #SUP: 3371
-1 | -1 | 6 | -1 | 41 | #SUP: 1034
-1 | -1 | 8 | -1 | -1 | #SUP: 2471
-1 | -1 | 9 | -1 | -1 | #SUP: 2725
-1 | -1 | 10 | -1 | -1 | #SUP: 2403
-1 | -1 | 11 | -1 | -1 | #SUP: 2792
-1 | -1 | 12 | -1 | -1 | #SUP: 3102
-1 | -1 | 13 | -1 | -1 | #SUP: 2693
-1 | -1 | 14 | -1 | -1 | #SUP: 2873
-1 | -1 | 17 | -1 | -1 | #SUP: 3000
-1 | -1 | 18 | -1 | -1 | #SUP: 2736
-1 | -1 | 19 | -1 | -1 | #SUP: 2496
-1 | -1 | 21 | -1 | -1 | #SUP: 2627
-1 | -1 | 22 | -1 | -1 | #SUP: 3146
-1 | -1 | 22 | -1 | 14 | #SUP: 1016
-1 | -1 | 23 | -1 | -1 | #SUP: 2605
-1 | -1 | 24 | -1 | -1 | #SUP: 2734
-1 | -1 | 25 | -1 | -1 | #SUP: 3245
-1 | -1 | 26 | -1 | -1 | #SUP: 2763
-1 | -1 | 27 | -1 | -1 | #SUP: 3009
-1 | -1 | 28 | -1 | -1 | #SUP: 2904
-1 | -1 | 29 | -1 | -1 | #SUP: 2784
-1 | -1 | 30 | -1 | -1 | #SUP: 2855
-1 | -1 | 31 | -1 | -1 | #SUP: 2481
-1 | -1 | 33 | -1 | -1 | #SUP: 3120
-1 | -1 | 34 | -1 | -1 | #SUP: 3078
-1 | -1 | 34 | -1 | 12 | #SUP: 1001
-1 | -1 | 37 | -1 | -1 | #SUP: 3107
-1 | -1 | 38 | -1 | -1 | #SUP: 2874
-1 | -1 | 39 | -1 | -1 | #SUP: 2657
-1 | -1 | 40 | -1 | -1 | #SUP: 2944
-1 | -1 | 40 | -1 | 41 | #SUP: 1144
-1 | -1 | 41 | -1 | -1 | #SUP: 3054
-1 | -1 | 42 | -1 | -1 | #SUP: 2958
-1 | -1 | 45 | -1 | -1 | #SUP: 3047
-1 | -1 | 46 | -1 | -1 | #SUP: 2691
-1 | -1 | 47 | -1 | -1 | #SUP: 2701
-1 | -1 | 48 | -1 | -1 | #SUP: 2698
-1 | 0 | -1 | -1 | -1 | #SUP: 2733
-1 | 1 | -1 | -1 | -1 | #SUP: 2741
-1 | 2 | -1 | -1 | -1 | #SUP: 3055
-1 | 4 | -1 | -1 | -1 | #SUP: 2690
-1 | 5 | -1 | -1 | -1 | #SUP: 2709
-1 | 6 | -1 | -1 | -1 | #SUP: 3343
-1 | 8 | -1 | -1 | -1 | #SUP: 2423
-1 | 9 | -1 | -1 | -1 | #SUP: 2707
-1 | 10 | -1 | -1 | -1 | #SUP: 2336
-1 | 11 | -1 | -1 | -1 | #SUP: 2795
-1 | 12 | -1 | -1 | -1 | #SUP: 3031
-1 | 13 | -1 | -1 | -1 | #SUP: 2655
-1 | 14 | -1 | -1 | -1 | #SUP: 2862
-1 | 17 | -1 | -1 | -1 | #SUP: 2957
-1 | 18 | -1 | -1 | -1 | #SUP: 2676
